# generated by ews.pipeline on 2026-05-12T02:21:30, loader=derived
ticker,date,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,drawdown_12m
F,2011-09-30,-0.10875569533138296,-0.3141844036208835,-0.3781349183988757,0.47486291323170193,0.3755260766489523,0.4880256331737037
GE,2011-09-30,-0.05148406535676597,-0.19296403335450185,-0.24538087612621595,0.3907197081306194,0.305381004722616,0.2919071255316205
INTC,2011-09-30,0.06753350332433805,-0.03973529681693988,0.11429189120974614,0.2985858284051204,0.28109844534541684,0.18855307652875128
PFE,2011-09-30,-0.06504437824850551,-0.13969656695208044,-0.12121816871928115,0.3128492728057136,0.25820398897604063,0.21465175296554256
SPG,2011-09-30,-0.06368134022003791,-0.07115507679705091,0.042714563956749885,0.41937479176195414,0.3182024547007909,0.18506442719246474
XOM,2011-09-30,-0.011702204650637094,-0.10404822220896603,-0.1336835149573845,0.34441733397207397,0.2746479377443273,0.21723495256337724
AAL,2011-10-31,0.24622000413815126,-0.022033783225389625,-0.37956994300032654,0.8782942693430541,0.7051541474782382,0.6164042451530725
BBBY,2011-10-31,-0.07262565724944336,-0.30833331743876136,-0.39194136097503096,0.6231781509980375,0.5055877021945745,0.5202311816896287
F,2011-10-31,0.24653126923391588,0.002575217565020438,-0.22904297504803328,0.5396916810196019,0.42318260267635727,0.5013304353290529
GE,2011-10-31,0.13750833908833293,-0.03433043958396953,-0.16087853416866316,0.42987991604531023,0.33733432155371945,0.30035647066668925
INTC,2011-10-31,0.1901064124486853,0.12517204343492727,0.054450232026715506,0.32202568363519535,0.2761756061438398,0.18855307652875128
PFE,2011-10-31,0.1113671202166524,0.06821944042650752,-0.04732376438727148,0.32856229592794894,0.2708400478792766,0.21465175296554256
SPG,2011-10-31,0.20600937857487955,0.12074942525809385,0.12671123291132447,0.468570293015205,0.3563274693487067,0.18506442719246474
XOM,2011-10-31,0.09753975229543554,0.011395672099431486,-0.06789926975019978,0.3678094010336878,0.28981021007723046,0.21723495256337724
AAL,2011-11-30,-0.1418182590674033,-0.10775073376619093,-0.46906629124918364,0.7814449660093521,0.7179687944914036,0.6512641390969728
BBBY,2011-11-30,0.038993764409329446,-0.17892645284834352,-0.4083094408086939,0.516788984743157,0.5200109437349005,0.5520231016312572
F,2011-11-30,-0.04332169138698394,-0.023041562617896805,-0.24339744659127427,0.443279150237499,0.44801197994836406,0.5013304353290529
GE,2011-11-30,-0.006866776039550659,-0.008482652612372465,-0.13949651201075663,0.3833127020369448,0.36167214507605383,0.30035647066668925
INTC,2011-11-30,0.05151781195740002,0.2571920534579528,0.1678156178391368,0.32599997936372194,0.3061042073865078,0.18855307652875128
PFE,2011-11-30,0.04873338664587035,0.07202638229328895,-0.016409997028278167,0.2741758451638457,0.29003065446619725,0.21465175296554256
SPG,2011-11-30,-0.001031608445632548,0.06607042845835154,0.09341532080452875,0.35625133619787497,0.37402078971854147,0.18506442719246474
XOM,2011-11-30,0.06556867117392229,0.10109262861952684,0.003371532559103274,0.29587562648653354,0.3052735883011958,0.21723495256337724
AAL,2011-12-31,0.026315854140011474,0.09503218647112921,-0.39999989225593735,0.7485969356799256,0.7611316379448204,0.6512641390969728
